Var1,Var2,Var3,Var4,Var5,Var6
0.85,-0.0118582878627072,-0.02505820072539,0,-0.0280532836914062,-0.0217079818248749
0.855,-0.0119625824841147,-0.0252196764569668,0,-0.0281600952148438,-0.0216031316667795
0.86,-0.0120474911178621,-0.0251758410647437,0,-0.00341033935546875,-0.0193493478000164
0.865,-0.0121321823320657,-0.0251564935851054,0,-0.003509521484375,-0.01938321813941
0.87,-0.0122158040278875,-0.0253148856566617,0,-0.00362396240234375,-0.0192421395331621
0.875,-0.0123002526895047,-0.0251980198712527,0,-0.00377655029296875,-0.0193738769739866
0.88,-0.0123844450306083,-0.0251764800045352,0,-0.0039520263671875,-0.0194343086332083
0.885,-0.0124673637076118,-0.0253667774144595,0,-0.00399017333984375,-0.0192639958113432
0.89,-0.0125572355852966,-0.0252309429291659,0,-0.0123519897460938,-0.0199743174016476
0.895,-0.0126458720714072,-0.0253776160817677,0,-0.0124893188476562,-0.0198566634207964
0.9,-0.0127347716290298,-0.0254885213190198,0,-0.012664794921875,-0.0199244972318411
0.905,-0.0128239297474988,-0.0254592325468513,0,-0.0127487182617188,-0.0199739262461662
0.91,-0.0129133085639155,-0.0253599138886462,0,-0.012939453125,-0.0200642738491297
0.915,-0.0130020504155711,-0.025407772423561,0,-0.0130386352539062,-0.0200455002486706
0.92,-0.0130911132503003,-0.0254246824625032,0,-0.0132522583007812,-0.0201512780040503
0.925,-0.0131799015720559,-0.0254412137259377,0,-0.0132522583007812,-0.0201512780040503
0.93,-0.0132690273370305,-0.025418961108692,0,-0.0134506225585938,-0.0202678386121988
0.935,-0.0133575009833796,-0.0255051661199011,0,-0.0135498046875,-0.0202112011611462
0.94,-0.0134450684871136,-0.0256290157293407,0,-0.0137786865234375,-0.0200209207832813
0.945,-0.0135328749359889,-0.0256097610738945,0,-0.0138397216796875,-0.0200624074786901
0.95,-0.0136194730266531,-0.0257899793771633,0,-0.013946533203125,-0.019899308681488
0.955,-0.0137059415146455,-0.0258621697679771,0,-0.0140457153320312,-0.0198427215218544
0.96,-0.0137919344484003,-0.0258216526590503,0,-0.0142593383789062,-0.0197108630090952
0.965,-0.0138769521244087,-0.0259468588633311,0,-0.0143585205078125,-0.0196009613573551
0.97,-0.0139689126361253,-0.0258704115280455,0,-0.0227584838867188,-0.0202528070658445
0.975,-0.014060628543567,-0.0258312720894798,0,-0.0229721069335938,-0.0202682800590992
0.98,-0.0141529437898636,-0.0257535523393643,0,-0.02313232421875,-0.0204623080790043
0.985,-0.0142443377099535,-0.025875533475569,0,-0.023345947265625,-0.0203711465001106
0.99,-0.0143351044322197,-0.0260060193334309,0,-0.0233688354492188,-0.0202567353844643
0.995,-0.0144254502892826,-0.0261151314378445,0,-0.0234909057617188,-0.0201679393649101
1,-0.0145156769070616,-0.0261999189530179,0,-0.0236282348632812,-0.0201560892164707
1.005,-0.0146060436504802,-0.026183740589498,0,-0.0237350463867188,-0.0201887935400009
1.01,-0.0146876676323964,-0.0262659746808912,0,-0.0088043212890625,-0.0200583748519421
1.015,-0.0147700035878586,-0.0261389793325229,0,-0.0088958740234375,-0.0201983395963907
1.02,-0.0148518646810761,-0.0262625774584187,0,-0.0091094970703125,-0.0202549621462822
1.025,-0.0149336344925771,-0.0262870727583591,0,-0.00930023193359375,-0.0202165991067886
1.03,-0.0150153390189244,-0.0262742310653822,0,-0.00940704345703125,-0.0202419068664312
1.035,-0.0150968198556389,-0.0262688091335401,0,-0.00949859619140625,-0.0202559251338243
1.04,-0.0151782920885198,-0.0262599688283351,0,-0.00970458984375,-0.0203016959130764
1.045,-0.0152717918887278,-0.0260740235113728,0,-0.0235748291015625,-0.0214320365339518
1.05,-0.0153636330314676,-0.0262732946860157,0,-0.023712158203125,-0.0212701503187418
1.055,-0.0154568133349545,-0.0261083911478401,0,-0.0237960815429688,-0.0214718841016293
1.06,-0.0155494907688186,-0.0262197790104833,0,-0.0240249633789062,-0.0215339567512274
1.065,-0.0156412795360557,-0.0264087939406107,0,-0.0241317749023438,-0.0213797874748707
1.07,-0.0157337202944748,-0.0263573481471382,0,-0.02423095703125,-0.0214616451412439
1.075,-0.0158256582507778,-0.02641377778896,0,-0.0243988037109375,-0.0214413721114397
1.08,-0.0159167118890713,-0.0265271105244516,0,-0.0245361328125,-0.0212888475507498
1.085,-0.0160078968536236,-0.0265967632244547,0,-0.0247802734375,-0.0213174801319838
1.09,-0.0160992817892858,-0.0265678937547971,0,-0.0248489379882812,-0.0213745273649693
1.095,-0.0161910666675947,-0.0264654988904538,0,-0.0249481201171875,-0.0215069763362408
1.1,-0.0162832396178376,-0.0263628560275501,0,-0.0251617431640625,-0.021665308624506
1.105,-0.016375509521679,-0.0262892989243845,0,-0.025299072265625,-0.0217748563736677
1.11,-0.0164672573258416,-0.0263384004252527,0,-0.0254440307617188,-0.021763801574707
1.115,-0.0165584545464064,-0.0264341136298688,0,-0.0255203247070312,-0.0216994099318981
1.12,-0.0166497749247209,-0.0265482091612901,0,-0.025787353515625,-0.0217509604990482
1.125,-0.0167483646137421,-0.0265357123200015,0,-0.0340499877929688,-0.0223587900400162
1.13,-0.0168465324241864,-0.026596245214664,0,-0.0341567993164062,-0.0223439782857895
1.135,-0.016944317799439,-0.026676241197851,0,-0.034271240234375,-0.02230129763484
1.14,-0.017040575750472,-0.0267945782766326,0,-0.03460693359375,-0.021954208612442
1.145,-0.0171380875530316,-0.0266161799823321,0,-0.0347442626953125,-0.0221658162772655
1.15,-0.0172352909545398,-0.0265842778373804,0,-0.0348968505859375,-0.0222353078424931
1.155,-0.0173322665142774,-0.0265945998631487,0,-0.0349884033203125,-0.0222613178193569
1.16,-0.0174216832044016,-0.0266361417338181,0,-0.021728515625,-0.0224083513021469
1.165,-0.0175107277560695,-0.0267063725342817,0,-0.0218582153320312,-0.0223769415169954
1.17,-0.0175995423300257,-0.0267569459448214,0,-0.0219573974609375,-0.0223590340465307
1.175,-0.017689938515096,-0.0265053479340306,0,-0.0221176147460938,-0.0226601343601942
1.18,-0.0177798508479758,-0.0264557406401013,0,-0.0223159790039062,-0.022720830515027
1.185,-0.0178689362137837,-0.0265625680457674,0,-0.0224075317382812,-0.0226552113890648
1.19,-0.0179582503243884,-0.0265606247291275,0,-0.0225296020507812,-0.0227016266435385
1.195,-0.0180467412876413,-0.0266681084225397,0,-0.0227737426757812,-0.0225863754749298
1.2,-0.0181439360759428,-0.0265252860667117,0,-0.0311660766601562,-0.0234044771641493
1.205,-0.018239233906114,-0.026786187181273,0,-0.0312957763671875,-0.0231937281787395
1.21,-0.0183355989097551,-0.0267149182087446,0,-0.031494140625,-0.0233095288276672
1.215,-0.0184318128480068,-0.0266976489224488,0,-0.0315170288085938,-0.0233797486871481
1.22,-0.018526155517759,-0.0270730896696584,0,-0.0317764282226562,-0.0231270045042038
1.225,-0.0186222205541346,-0.0269385230771212,0,-0.0319595336914062,-0.0233079437166452
1.23,-0.0187178981690275,-0.0269328305175612,0,-0.0319976806640625,-0.0233619455248117
1.235,-0.0188143535306958,-0.0267949569412246,0,-0.0321578979492188,-0.0235470347106457
